scenario,policy,policy_label,discovery_mode,lambda_cost,lambda_privacy,lambda_latency,OCA,normalized_total_operational_cost,normalized_privacy_cost,normalized_latency_proxy,net_utility
nominal,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.0,0.0,0.8045,1.0,1.0,1.0,0.8045
nominal,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.0,0.0,0.21925,0.23561167450907256,0.12290880002226476,0.4444693331728291,0.21925
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.0,0.0,0.2029166666666667,0.2341796366034337,0.11386163422559802,0.43242531577903626,0.2029166666666667
nominal,ego_only,Ego-only,exhaustive_hop,0.0,0.0,0.1,0.1395,0.0,0.0,0.0,0.1395
nominal,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.0,0.1,0.8045,1.0,1.0,1.0,0.7045
nominal,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.0,0.1,0.21925,0.23561167450907256,0.12290880002226476,0.4444693331728291,0.17480306668271708
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.0,0.1,0.2029166666666667,0.2341796366034337,0.11386163422559802,0.43242531577903626,0.15967413508876305
nominal,ego_only,Ego-only,exhaustive_hop,0.0,0.15,0.0,0.1395,0.0,0.0,0.0,0.1395
nominal,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.15,0.0,0.8045,1.0,1.0,1.0,0.6545
nominal,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.15,0.0,0.21925,0.23561167450907256,0.12290880002226476,0.4444693331728291,0.20081367999666028
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.15,0.0,0.2029166666666667,0.2341796366034337,0.11386163422559802,0.43242531577903626,0.18583742153282698
nominal,ego_only,Ego-only,exhaustive_hop,0.0,0.15,0.1,0.1395,0.0,0.0,0.0,0.1395
nominal,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.15,0.1,0.8045,1.0,1.0,1.0,0.5545
