scenario,seed,episode,relation_type,edge_count,edge_share,relation_utility
nominal,7,8,SOR,20,0.21505376344086022,0.6
nominal,7,8,POR,21,0.22580645161290322,0.5
degraded_ego,7,8,OOR,3,0.030303030303030304,1.0
degraded_ego,7,8,CLOR,10,0.10101010101010101,0.8
degraded_ego,7,8,CWOR,32,0.32323232323232326,0.8
degraded_ego,7,8,SOR,36,0.36363636363636365,0.6
degraded_ego,7,8,POR,18,0.18181818181818182,0.5
ambiguous_local_context,7,8,OOR,3,0.03,1.0
ambiguous_local_context,7,8,CLOR,14,0.14,0.8
ambiguous_local_context,7,8,CWOR,32,0.32,0.8
ambiguous_local_context,7,8,SOR,28,0.28,0.6
ambiguous_local_context,7,8,POR,23,0.23,0.5
noisy_untrusted_external,7,8,OOR,3,0.033707865168539325,1.0
noisy_untrusted_external,7,8,CLOR,11,0.12359550561797752,0.8
noisy_untrusted_external,7,8,CWOR,32,0.3595505617977528,0.8
noisy_untrusted_external,7,8,SOR,23,0.25842696629213485,0.6
noisy_untrusted_external,7,8,POR,20,0.2247191011235955,0.5
nominal,7,9,OOR,3,0.03225806451612903,1.0
nominal,7,9,CLOR,15,0.16129032258064516,0.8
nominal,7,9,CWOR,29,0.3118279569892473,0.8
nominal,7,9,SOR,27,0.2903225806451613,0.6
nominal,7,9,POR,19,0.20430107526881722,0.5
degraded_ego,7,9,OOR,3,0.03125,1.0
degraded_ego,7,9,CLOR,12,0.125,0.8
degraded_ego,7,9,CWOR,29,0.3020833333333333,0.8
degraded_ego,7,9,SOR,28,0.2916666666666667,0.6
degraded_ego,7,9,POR,24,0.25,0.5
ambiguous_local_context,7,9,OOR,3,0.028037383177570093,1.0
ambiguous_local_context,7,9,CLOR,18,0.16822429906542055,0.8
ambiguous_local_context,7,9,CWOR,30,0.2803738317757009,0.8
ambiguous_local_context,7,9,SOR,28,0.2616822429906542,0.6
ambiguous_local_context,7,9,POR,28,0.2616822429906542,0.5
noisy_untrusted_external,7,9,OOR,3,0.03225806451612903,1.0
noisy_untrusted_external,7,9,CLOR,13,0.13978494623655913,0.8
noisy_untrusted_external,7,9,CWOR,34,0.3655913978494624,0.8
noisy_untrusted_external,7,9,SOR,22,0.23655913978494625,0.6
noisy_untrusted_external,7,9,POR,21,0.22580645161290322,0.5
nominal,7,10,OOR,5,0.05434782608695652,1.0
nominal,7,10,CLOR,13,0.14130434782608695,0.8
nominal,7,10,CWOR,32,0.34782608695652173,0.8
nominal,7,10,SOR,21,0.22826086956521738,0.6
nominal,7,10,POR,21,0.22826086956521738,0.5
degraded_ego,7,10,OOR,5,0.05102040816326531,1.0
degraded_ego,7,10,CLOR,13,0.1326530612244898,0.8
degraded_ego,7,10,CWOR,27,0.2755102040816326,0.8
degraded_ego,7,10,SOR,29,0.29591836734693877,0.6
degraded_ego,7,10,POR,24,0.24489795918367346,0.5
ambiguous_local_context,7,10,OOR,3,0.030927835051546393,1.0
ambiguous_local_context,7,10,CLOR,15,0.15463917525773196,0.8
ambiguous_local_context,7,10,CWOR,35,0.36082474226804123,0.8
ambiguous_local_context,7,10,SOR,27,0.27835051546391754,0.6
ambiguous_local_context,7,10,POR,17,0.17525773195876287,0.5
noisy_untrusted_external,7,10,OOR,5,0.043859649122807015,1.0
