scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,transit|commuting|high|degraded,transit|commuting|medium|sparse,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|high|nominal,office|focused_work|high|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|high|nominal,office|focused_work|low|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|high|nominal,transit|commuting|high|sparse,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|high|sparse,transit|commuting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|high|sparse,transit|commuting|high|sparse,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|low|nominal,office|interacting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|medium|nominal,office|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|medium|nominal,transit|waiting|low|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|commuting|medium|sparse,transit|commuting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|waiting|medium|nominal,transit|commuting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,transit|waiting|medium|nominal,transit|commuting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,home|focused_work|high|degraded,home|resting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,home|focused_work|low|nominal,home|resting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,home|resting|high|degraded,home|resting|high|nominal,7,0.0005957446808510638
ambiguous_local_context,home|resting|high|nominal,home|resting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,home|resting|medium|nominal,home|waiting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,home|resting|medium|nominal,transit|resting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,home|resting|medium|sparse,home|resting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,home|waiting|high|nominal,home|waiting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,home|waiting|medium|nominal,home|waiting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,meeting_room|focused_work|medium|nominal,meeting_room|focused_work|high|degraded,7,0.0005957446808510638
ambiguous_local_context,meeting_room|focused_work|medium|nominal,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,meeting_room|focused_work|medium|nominal,office|focused_work|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,meeting_room|focused_work|medium|nominal,office|interacting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,meeting_room|interacting|low|nominal,meeting_room|focused_work|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|high|nominal,meeting_room|interacting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|high|nominal,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|low|nominal,office|focused_work|high|degraded,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|medium|degraded,office|interacting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|focused_work|high|nominal,7,0.0005957446808510638
ambiguous_local_context,office|focused_work|medium|nominal,office|waiting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|high|degraded,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|high|nominal,meeting_room|focused_work|high|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|high|sparse,office|focused_work|low|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|medium|degraded,office|focused_work|high|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|medium|degraded,office|interacting|low|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|medium|degraded,office|interacting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,office|interacting|medium|nominal,meeting_room|focused_work|high|degraded,7,0.0005957446808510638
ambiguous_local_context,office|interacting|medium|nominal,transit|commuting|high|nominal,7,0.0005957446808510638
ambiguous_local_context,office|resting|low|nominal,office|focused_work|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,public_place|interacting|high|degraded,public_place|waiting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,public_place|interacting|high|nominal,public_place|interacting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,public_place|waiting|high|nominal,transit|commuting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,public_place|waiting|low|nominal,public_place|waiting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,public_place|waiting|low|nominal,transit|commuting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|high|nominal,home|resting|medium|nominal,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|high|nominal,office|interacting|high|degraded,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|high|nominal,transit|commuting|medium|degraded,7,0.0005957446808510638
ambiguous_local_context,transit|commuting|high|nominal,transit|waiting|low|nominal,7,0.0005957446808510638
