scenario,seed,episode,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop
degraded_ego,13,31,7,31,54,60
ambiguous_local_context,13,31,6,30,53,60
noisy_untrusted_external,13,31,8,32,55,60
nominal,13,32,8,32,55,60
degraded_ego,13,32,5,29,52,60
ambiguous_local_context,13,32,5,29,52,60
noisy_untrusted_external,13,32,6,30,53,60
nominal,13,33,5,29,52,60
degraded_ego,13,33,7,31,54,60
ambiguous_local_context,13,33,6,30,53,60
noisy_untrusted_external,13,33,8,32,55,60
nominal,13,34,6,30,53,60
degraded_ego,13,34,5,29,52,60
ambiguous_local_context,13,34,8,32,55,60
noisy_untrusted_external,13,34,6,30,53,60
nominal,13,35,8,32,55,60
degraded_ego,13,35,8,32,55,60
ambiguous_local_context,13,35,8,32,55,60
noisy_untrusted_external,13,35,7,31,54,60
nominal,13,36,7,31,54,60
degraded_ego,13,36,7,31,54,60
ambiguous_local_context,13,36,8,32,55,60
noisy_untrusted_external,13,36,5,29,52,60
nominal,13,37,6,30,53,60
degraded_ego,13,37,7,31,54,60
ambiguous_local_context,13,37,7,31,54,60
noisy_untrusted_external,13,37,6,30,53,60
nominal,13,38,5,29,52,60
degraded_ego,13,38,7,31,54,60
ambiguous_local_context,13,38,6,30,53,60
noisy_untrusted_external,13,38,5,29,52,60
nominal,13,39,8,32,55,60
degraded_ego,13,39,8,32,55,60
ambiguous_local_context,13,39,7,31,54,60
noisy_untrusted_external,13,39,5,29,52,60
nominal,13,40,5,29,52,60
degraded_ego,13,40,6,30,53,60
ambiguous_local_context,13,40,6,30,53,60
noisy_untrusted_external,13,40,5,29,52,60
nominal,13,41,5,29,52,60
degraded_ego,13,41,6,30,53,60
ambiguous_local_context,13,41,6,30,53,60
noisy_untrusted_external,13,41,8,32,55,60
nominal,13,42,7,31,54,60
degraded_ego,13,42,8,32,55,60
ambiguous_local_context,13,42,8,32,55,60
noisy_untrusted_external,13,42,5,29,52,60
nominal,13,43,6,30,53,60
degraded_ego,13,43,5,29,52,60
ambiguous_local_context,13,43,6,30,53,60
noisy_untrusted_external,13,43,6,30,53,60
nominal,13,44,6,30,53,60
degraded_ego,13,44,8,32,55,60
ambiguous_local_context,13,44,6,30,53,60
noisy_untrusted_external,13,44,7,31,54,60
nominal,13,45,8,32,55,60
degraded_ego,13,45,8,32,55,60
ambiguous_local_context,13,45,6,30,53,60
noisy_untrusted_external,13,45,5,29,52,60
nominal,13,46,5,29,52,60
degraded_ego,13,46,8,32,55,60
ambiguous_local_context,13,46,8,32,55,60
noisy_untrusted_external,13,46,6,30,53,60
nominal,13,47,6,30,53,60
degraded_ego,13,47,8,32,55,60
ambiguous_local_context,13,47,6,30,53,60
noisy_untrusted_external,13,47,6,30,53,60
nominal,13,48,6,30,53,60
degraded_ego,13,48,5,29,52,60
ambiguous_local_context,13,48,8,32,55,60
noisy_untrusted_external,13,48,5,29,52,60
nominal,13,49,8,32,55,60
degraded_ego,13,49,7,31,54,60
ambiguous_local_context,13,49,7,31,54,60
noisy_untrusted_external,13,49,7,31,54,60
nominal,17,0,5,29,52,60
degraded_ego,17,0,8,32,55,60
ambiguous_local_context,17,0,7,31,54,60
noisy_untrusted_external,17,0,6,30,53,60
nominal,17,1,7,31,54,60
degraded_ego,17,1,7,31,54,60
ambiguous_local_context,17,1,5,29,52,60
noisy_untrusted_external,17,1,8,32,55,60
nominal,17,2,5,29,52,60
degraded_ego,17,2,5,29,52,60
ambiguous_local_context,17,2,8,32,55,60
noisy_untrusted_external,17,2,8,32,55,60
nominal,17,3,8,32,55,60
degraded_ego,17,3,7,31,54,60
ambiguous_local_context,17,3,7,31,54,60
noisy_untrusted_external,17,3,8,32,55,60
nominal,17,4,8,32,55,60
degraded_ego,17,4,6,30,53,60
ambiguous_local_context,17,4,5,29,52,60
noisy_untrusted_external,17,4,6,30,53,60
nominal,17,5,5,29,52,60
degraded_ego,17,5,8,32,55,60
ambiguous_local_context,17,5,6,30,53,60
noisy_untrusted_external,17,5,6,30,53,60
nominal,17,6,7,31,54,60
degraded_ego,17,6,6,30,53,60
ambiguous_local_context,17,6,6,30,53,60
noisy_untrusted_external,17,6,8,32,55,60
nominal,17,7,8,32,55,60
degraded_ego,17,7,6,30,53,60
ambiguous_local_context,17,7,7,31,54,60
noisy_untrusted_external,17,7,8,32,55,60
