scenario,policy,policy_label,seed,episode,overall_context_accuracy
nominal,opportunistic_all,Opportunistic all,11,32,0.8125
nominal,opportunistic_all,Opportunistic all,11,33,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,11,34,0.625
nominal,opportunistic_all,Opportunistic all,11,35,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,36,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,11,37,0.8125
nominal,opportunistic_all,Opportunistic all,11,38,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,39,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,40,0.75
nominal,opportunistic_all,Opportunistic all,11,41,0.6875
nominal,opportunistic_all,Opportunistic all,11,42,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,11,43,0.875
nominal,opportunistic_all,Opportunistic all,11,44,0.875
nominal,opportunistic_all,Opportunistic all,11,45,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,11,46,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,11,47,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,11,48,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,11,49,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,13,0,0.875
nominal,opportunistic_all,Opportunistic all,13,1,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,13,2,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,13,3,0.8125
nominal,opportunistic_all,Opportunistic all,13,4,0.875
nominal,opportunistic_all,Opportunistic all,13,5,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,6,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,13,7,0.75
nominal,opportunistic_all,Opportunistic all,13,8,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,9,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,13,10,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,13,11,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,13,12,0.875
nominal,opportunistic_all,Opportunistic all,13,13,0.75
nominal,opportunistic_all,Opportunistic all,13,14,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,13,15,0.8125
nominal,opportunistic_all,Opportunistic all,13,16,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,13,17,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,13,18,0.8125
nominal,opportunistic_all,Opportunistic all,13,19,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,13,20,0.75
nominal,opportunistic_all,Opportunistic all,13,21,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,22,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,13,23,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,13,24,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,13,25,0.75
nominal,opportunistic_all,Opportunistic all,13,26,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,13,27,0.5416666666666666
nominal,opportunistic_all,Opportunistic all,13,28,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,13,29,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,13,30,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,13,31,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,13,32,0.75
nominal,opportunistic_all,Opportunistic all,13,33,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,13,34,0.9583333333333334
nominal,opportunistic_all,Opportunistic all,13,35,0.9583333333333334
nominal,opportunistic_all,Opportunistic all,13,36,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,13,37,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,13,38,0.75
nominal,opportunistic_all,Opportunistic all,13,39,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,40,0.8125
nominal,opportunistic_all,Opportunistic all,13,41,0.75
nominal,opportunistic_all,Opportunistic all,13,42,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,13,43,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,13,44,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,13,45,0.6458333333333334
