scenario,policy,policy_label,metric,mean,ci95_low,ci95_high,std,median,min,max
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,ego_missing_rate,0.19737499999999997,0.19316302083333334,0.20144062499999998,0.03345120141262848,0.19791666666666666,0.125,0.3020833333333333
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,macro_f1_place,0.6485277495916294,0.6385728454093864,0.6592783329305792,0.08146900004869895,0.6535221606425906,0.3934199134199134,0.8525145442792501
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,macro_f1_activity,0.6385917439590433,0.6302659383972892,0.6483278048338931,0.07514712179567865,0.6370970764701416,0.43683174455552976,0.8488969095420709
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,macro_f1_env_load,0.628869037810952,0.6195919184495752,0.6377531601341783,0.0713747506481387,0.6287472754405157,0.45340722495894914,0.8452191587133262
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,macro_f1_resource_state,0.5706114745390175,0.5595170831163804,0.5817864337220476,0.09211062903809904,0.5716126063952152,0.27847396268448904,0.777036860628192
degraded_ego,ego_only,Ego-only,overall_context_accuracy,0.020666666666666667,0.018,0.023168750000000002,0.02095779422499733,0.020833333333333332,0.0,0.10416666666666667
degraded_ego,ego_only,Ego-only,mean_variable_accuracy,0.3448333333333333,0.3405197916666667,0.3497713541666667,0.0373821916784638,0.34635416666666663,0.24479166666666666,0.453125
degraded_ego,ego_only,Ego-only,convergence_time,24.594422389167498,22.36666197900668,26.77815051655123,18.58443033214724,16.75175438596491,0.0,48.0
degraded_ego,ego_only,Ego-only,nodes_visited,1.0,1.0,1.0,0.0,1.0,1.0,1.0
degraded_ego,ego_only,Ego-only,visited_node_count,1.0,1.0,1.0,0.0,1.0,1.0,1.0
degraded_ego,ego_only,Ego-only,traversed_edge_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,scored_candidate_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,discovered_candidate_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,selected_source_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,estimated_latency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,privacy_exposure_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,discovery_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,recruitment_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,selection_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,total_operational_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_ego,ego_only,Ego-only,ego_missing_rate,0.52025,0.5151666666666668,0.5253968750000001,0.03965568407212291,0.5208333333333334,0.4114583333333333,0.6197916666666666
degraded_ego,ego_only,Ego-only,macro_f1_place,0.26527036871931226,0.25636646504549154,0.27392847325871034,0.07118434162617077,0.2641819291819292,0.0797212543554007,0.4495161057345081
degraded_ego,ego_only,Ego-only,macro_f1_activity,0.2628968799413168,0.2546861123572847,0.2717932065091297,0.06850206895752697,0.2685624473445771,0.08864569083447331,0.4614177978883861
degraded_ego,ego_only,Ego-only,macro_f1_env_load,0.32638648234948553,0.3179589067396833,0.33471394935575816,0.06661618186723509,0.32587165920499256,0.16390145801910508,0.5050446998722861
degraded_ego,ego_only,Ego-only,macro_f1_resource_state,0.2983150443439806,0.2902623524810769,0.30628634517876274,0.0627768444285363,0.2994962570052996,0.14444444444444446,0.478395061728395
degraded_ego,opportunistic_all,Opportunistic all,overall_context_accuracy,0.7739166666666666,0.7633312500000001,0.7842541666666667,0.08644947717581317,0.7916666666666666,0.4166666666666667,0.9791666666666666
degraded_ego,opportunistic_all,Opportunistic all,mean_variable_accuracy,0.939875,0.9371447916666665,0.9427317708333333,0.02424575498665333,0.9427083333333334,0.8385416666666666,0.9947916666666666
degraded_ego,opportunistic_all,Opportunistic all,convergence_time,0.2910996000813885,0.2725524240367034,0.30997060927869935,0.1549835317058975,0.25834175935288173,0.021739130434782608,1.069767441860465
degraded_ego,opportunistic_all,Opportunistic all,nodes_visited,54.552,54.416,54.704100000000004,1.147415464858298,55.0,53.0,56.0
